word_original,synset,senses,definitions
picture,bn:00034471n,['영화'],"['영화는 순간을 기록한 장면을 연속적으로 촬영하여 기록한 동영상을, 같이 기록한 음성과 함께 편집하여 어떤 내용을 전달하게끔 꾸며서 만든 영상물이다.', '인상적인 움직임의 순간적인 이미지를 연속적으로 필름에 담은 것']"
pig,bn:00042006n,"['돼지', '멧돼지속', 'Sus scrofa domestica']","['돼지 또는 집돼지는 가축화된 멧돼지를 말한다.', '멧돼지속은 돼지와 멧돼지 등을 포함하는 멧돼지과의 한 속이다.', '가축', '돼지와 멧돼지 등을 포함하는 멧돼지과의 한 속']"
pipe,bn:00062568n,"['배관', '관로', '파이프']",['관로는 액체나 기체가 흐르기 위해 설치한 일종의 시설이다.']
plane,bn:00001697n,['비행기'],"['비행기는 날개와 그에 의해 발생하는 양력을 이용해 인공적으로 하늘을 나는 능력을 가진 항공기를 말한다.', '날개와 그에 의해 발생하는 양력을 이용해 인공적으로 하늘을 나는 능력을 지닌 항공기']"
plate,bn:00050990n,"['자동차 번호판', '차량 번호판']",['차량 번호판은 공식적인 식별을 목적으로 자동차나 트레일러에 부착해 다니는 금속이나 플라스틱으로 된 판이다.']
plough,bn:00063057n,['쟁기'],['쟁기는 소나 말에 끌려 논밭을 가는 농기구이다.']
pocket,bn:00063155n,"['호주머니', '주머니', '포켓']",['주머니는 작은 물품을 담기 위한 도구이다.']
pot,bn:00015106n,"['화장실', '요강', '변소', '변기']","['변기는 인간이 주로 대소변의 배설에 사용하는 위생 기구이며, 건축 부재이다.']"
potato,bn:00047481n,"['감자', 'Solanum tuberosum']","['감자는 쌍떡잎식물 통화나물목 가지과의 여러해살이 식물로, 벼, 밀, 옥수수와 함께 세계 4대작물에 해당한다.', '가지과의 다년생식물로, 세계에서 네 번째로 많이 생산되는 곡물']"
prison,bn:00064468n,['교도소'],"['감옥은 국가가 범죄에 대한 형벌로서 사람의 일부 자유를 박탈하고 강제로 수용해 두는 시설을 가리킨다.', '사람의 자유를 빼앗는 벌을 받는 공간, 또는 기관']"
rail,bn:00077838n,"['철도 궤도', '선로', '궤도']","['선로는 열차가 주행하는 통로인 궤도 및 침목, 도상이라고 불리는 자갈 및 그것들을 지탱하는 노반 등의 구조물을 말한다.', '침목에 매인 레일들을 가리킴']"
rat,bn:00056119n,"['쥐', '생쥐속']","['생쥐속은 뾰족한 주둥이와 작고 둥근 귀, 몸길이 정도의 비늘꼬리를 가진 작은 설치류이다.', '쥐는 설치류의 한 부류이다.', '설치류의 한 부류']"
receipt,bn:00000746n,"['송장', '인보이스', '계산서']",['송장 또는 인보이스는 매매계약의 조건을 정당하게 이행했다는 뜻을 판매측이 구매측에 전달하는 서류로 일반적으로는 발송장이라고 한다.']
rod,bn:00022813n,['체벌'],"['‘나라에서 죄지은 사람에게 주는 벌’의 준말.', '벌 줌.', '상 줌과 벌 줌.', '체벌은 상대방에게 신체적 고통을 주기 위하여 상대방의 신체에 물리력을 행사하거나 기합과 같은 벌을 주는 행위를 말한다.']"
roof,bn:00068220n,['지붕'],"['집의 위쪽을 덮어 가리는 부분.', '지붕은 건축물의 가장 윗부분을 덮고 있는 것을 말한다.', '건축물의 가장 윗부분을 덮고 있는 것']"
sail,bn:00068849n,['범선'],['범선이나 돛단배는 돛을 달아 풍력을 이용하여 항해하거나 동력을 이용해 운항하는 배를 말한다.']
school,bn:00069619n,"['대학교', '학교']","['학생을 가르치는 교육기관. 초등학교, 중학교, 고등학교, 대학교 및 특수학교 들이 있다.', '학교는 교육을 위한 장소이다.']"
scissors,bn:00060209n,['가위'],['가위는 손으로 잡아 종이 등을 쉽게 자를 수 있게 하는 도구이다.']
seed,bn:00070253n,"['씨', '씨앗']","['열매 속에 있으며 앞으로 새로운 낱몸이 될 단단한 물질.', '씨, 씨앗, 종자는 식물의 밑씨가 발달한 것이다.']"
sheep,bn:00070967n,"['양', 'Ovis aries']","['양은 우제목 소과에 속하는 가축화된 포유류이다.', '소과에 속하는 동물']"
shelf,bn:00070999n,['선반'],"['선반은 물건들을 전시하거나 보관하거나 판매용으로 제공하기 위해 가정, 기업, 가게, 또는 그 밖의 장소에 사용되는 평평한 가구이다.']"
ship,bn:00071103n,['선박'],['선박 또는 배는 사람이나 물건 등을 물 위 또는 물 속에서 이동할 수 있도록 하는 물 위의 교통수단을 말한다.']
shirt,bn:00071142n,"['셔츠', '와이셔츠', '남방']",['셔츠 또는 샤쓰는 양복 속에 받쳐 입거나 겉옷으로 입기도 하는 윗옷이다.']
shoe,bn:00071172n,"['신', '신발']","['땅에 딛고 서거나 걷기 위하여 발에 신는 물건.', '신발은 발의 보호와 장식을 하기 위해서, 때로는 바닥에 미끄러지는 것을 방지하기 위한 풋웨어의 일종이다.']"
skin,bn:00024643n,"['살갗', '피부']","['딱딱하지 아니한 물체의 전체를 싸고 있는, 질긴 물질의 켜.', '살가죽의 겉면.', '피부 또는 살갗은 동물해부학과 피부병학의 정의에 의하면, 체내의 근육들과 기관을 보호하는 다수의 상피 조직으로 이뤄진, 외피 체계에서 가장 큰 조직이다.']"
skirt,bn:00072004n,"['치마', '스커트']","['치마는 허리에 걸쳐 엉덩이와 발 전체 또는 일부를 덮는 원뿔 또는 원통형의 옷의 종류이다.', '허리에 걸쳐 엉덩이와 발 전체 또는 일부를 덮는 원뿔 또는 원통형의 옷의 종류']"
snake,bn:00059150n,['뱀'],['뱀은 뱀아목에 속하는 파충류의 총칭으로 다리가 퇴화한 것이 특징이다.']
sock,bn:00072576n,['양말'],"['실로 겯거나 떠서 만든 서양식 버선.', '양말은 보통 사람이 발에 신는 풋웨어 중의 하나이다.']"
spade,bn:00022443n,['니거'],['니거는 주로 영어권에서 일반적으로 흑인을 가리키는 명칭이다.']
sponge,bn:00060631n,"['해면동물', 'Porifera']","['해면동물은 해면동물문 동물의 총칭이다.', '해면동물문에 속하는 동물']"
spoon,bn:00073547n,"['스푼', '숟가락']","['음식이나 그밖의 물건을 끼워서 집는 제구 + 밥이나 국물 따위를 떠먹는 기구.', '숟가락 또는 스푼은 음식을 먹는 데 사용하는 도구다.', '음식을 먹는 데 사용하는 도구']"
spring,bn:00036077n,"['샘터', '샘']","['물이 땅에서 솟아 나오는 자리.', '샘은 지하수가 지표로 흘러나오는 곳이다.', '지하수가 땅 위로 솟아오르는 곳']"
square,bn:00036107n,['정사각형'],"['정사각형은 네 변의 길이가 모두 같고, 네 각의 크기가 모두 같은 사각형이다.']"
stamp,bn:00063768n,['우표'],['우표는 우편 요금을 냈다는 것을 증명하기 위해 정부가 발행하는 증표이다.']
star,bn:00073964n,"['별', '항성', '외계 행성 주인별']","['항성 또는 붙박이별은 막대한 양의 플라스마가 중력으로 뭉쳐서 밝게 빛나는 납작한 회전타원체형의 천체이다.', '중력으로 유지되며 핵융합이 일어나는 플라즈마 구체']"
stem,bn:00073868n,"['줄기', '그루']","['풀나무의 곁가지와 뿌리 밖의 줏대.', '줄기는 뿌리와 함께 유관속식물을 구성하는 두 개의 중심축 중의 하나로, 뿌리와 잎을 연결하는 식물체의 영양기관으로 식물체를 지지하거나 물관과 체관으로 이루어진 관다발조직을 통해 물과 무기영양소, 당분 등을 수송하는 역할을 한다.', '식물의 영양 기관']"
stick,bn:00019079n,['엽궐련'],['엽궐련은 담배의 한 종류이다.']
stocking,bn:00074376n,['스타킹'],"['실로 겯거나 떠서 만든 서양식 버선.', '스타킹은 풋웨어의 일종으로, 착용 전엔 수축되어 있어서 신축하여 착용이 되는 양말을 의미하지만 그 유래와 전통에 따라 다르게 분류하고 착용하며 그 길이, 색상, 패턴, 디자인, 기능, 재질에 따라 다시 제품명으로 분류한다.', '발에서 다리를 거쳐 무릎 또는 그 위 부분을 감싸는 양말류']"
stomach,bn:00012886n,"['위', '위장']","['가슴속과 뱃속에 있는 소화기, 호흡기, 비뇨생식기 따위의 여러 기관.', '위는 소화 기관의 하나이다.']"
store,bn:00021483n,"['주기억장치', '기억 장치', '메모리']","['기억 장치는 컴퓨터에서 데이터를 일시적으로, 또는 영구히 보존하는 장치를 말한다.', '컴퓨터에서 데이터를 보존하는 장치', '컴퓨터에서 수치·명령·자료 등을 기억하는 컴퓨터 하드웨어 장치']"
sun,bn:00028190n,"['일요일', '주일']","['주일은 기독교에서 공동체적 예배의 주가 되는 날로서, 일반적으로 일요일을 가리킨다.', '일요일은 토요일 뒤의 날, 월요일 앞의 날이다.', '일주일을 구성하는 요일 중 하나']"
table,bn:00075813n,"['테이블', '탁자', '밥상', '상']","['집안 살림에 쓰는 온갖 제구.', '탁자 또는 식탁 또는 테이블은 다리나 기둥으로 받쳐 만든 가구의 일종이다.']"
tail,bn:00075904n,['꼬리'],"['꼬리는 동물의 몸 뒤에 붙어있는 꽁무니나, 조금 나와 있는 부분을 일컫는다.', '동물의 몸 뒤에 붙어있는 꽁무니']"
thread,bn:00077028n,"['실', '털실']","['솜, 삼, 고치, 털 따위를 가늘고 길게 뽑은 것.', '실은 고치, 털, 솜, 삼 따위를 가늘고 길게 자아 내어서 꼰 것이다.']"
throat,bn:00061897n,"['멱살', '목구멍', '멱']","['입안에서 식도, 기도로 통하는 입속의 깊숙한 곳.', '목구멍은 식도와 기도로 통하는 입속에 위치한 깊숙한 곳이다.']"
thumb,bn:00063376n,"['엄지', '엄지손가락']","['손끝에 달린 다섯 개의 짤막한 가락. 엄지손가락, 집게손가락, 가운뎃손가락, 약손가락, 새끼손가락 들이 있다.', '엄지손가락은 가장 안쪽에 위치한 손가락으로, 손가락 중 가장 굵다.']"
ticket,bn:00033665n,"['비', '운임', '료금', '요금']","['삯. 또는, 값.', '운임은 대중교통을 이용하는 승객들이 대중교통을 이용하는 대가로 내는 돈을 의미하는 단어이다.']"
toe,bn:00077465n,['발가락'],"['발 앞쪽에 따로 갈라진 부분.', '발가락은 짐승의 발끝에 갈라진 부분을 말한다.']"
tooth,bn:00077593n,"['이', '사람의 이']","['음식물을 씹는 데 쓰이는 기관.', '이 또는 치아는 동물의 입속에 돌출되어 있는 저작작용을 위해 사용하는 신체 기관이다.', '사람의 이는 구강에 존재하는 경조직으로, 음식물을 삼키기 좋게 자르거나 으깨어 소화를 돕는 역할을 한다.']"
town,bn:00077773n,['마을'],"['마을은 사람들이 모여 사는 곳으로, 말 또는 마실 그리고 타운이라고도 한다.']"
train,bn:00066028n,"['기차', '열차']","['열차는 선로 위를 달리는 한 대 이상의 열차들이 서로 일렬로 연결되어 있는 차량을 일컫는다.', '열차번호가 부여되었거나 본선을 운전할 목적으로 편성된 철도차량의 복수개념이다.']"
tray,bn:00078102n,['트레이'],"['주로 액체나 가루를 담는 데 쓰이는, 목과 아가리가 좁은 그릇 + 아가리가 좁고 배가 부른 질그릇의 한 가지 + 꽃을 심는 그릇.', '트레이는 그릇 등을 받쳐 드는 데에 쓰는 널찍하고 반반한 도구이다.', '그릇 등을 받쳐 드는 데에 쓰는 널찍하고 반반한 도구']"
tree,bn:00078131n,['나무'],"['나무는 뿌리, 잎, 열매, 나무질로 된 줄기 등을 가지고 있는 여러해살이 식물이다.', '뿌리, 잎, 열매, 나무질로 된 줄기 등을 가지고 있는 여러해살이 식물']"
trousers,bn:00060423n,['바지'],"['바지는 몸의 아랫도리에 착용하는 옷의 한 종류로, 다리를 따로 감싸는 것이 특징이며, 남자나 여자 모두 주로 입는다.', '몸의 아랫도리에 착용하는 옷의 한 종류']"
umbrella,bn:00078920n,['우산과 양산'],"['우산은 비, 눈이나, 우박이 내리고 있을 때에 스스로의 몸이나 소지품을 적시지 않기 위해 사용하는 물건이다.']"
wall,bn:00080386n,['벽'],"['흙, 나무, 돌, 벽돌 같은 것을 쌓아서 둘러 막은 방의 둘레.', '벽은 건물이나 방을 둘러싸고 있는 고체로 된 물체이다.', '주위를 둘러싸고 있는 고체로 된 물체']"
watch,bn:00077172n,"['시간팔찌', '휴대용 시계', '손목 시계', '워치', '시계']","['시간을 재거나 가리키는 기계. 흔히 태엽의 힘으로 바퀴를 돌게 하고 추나 유사의 움직임을 이용하여 바퀴의 도는 속도를 일정하게 조절하게 되어 있다.', '손목 시계는 가죽줄이나 쇠줄 등으로 손목에 끼워서 사용하는 작은 휴대용 시계이다.', '휴대용 시계는 손에 차거나 들고 다니거나 주머니에 넣기 편한 시계다.']"
wheel,bn:00010248n,"['自轉車', '자전거']","['자전거는 일반적으로 바퀴 두 개로 구성되어 사람의 힘으로 움직일 수 있는 교통 수단이다.', '일반적으로 바퀴 두 개로 구성되어 사람의 힘으로 움직일 수 있는 교통 수단']"
whip,bn:00081007n,['채찍'],"['채찍은 사람이나 동물을 치기 위하여 길쭉한 대나무 지팡이, 혹은 막대 모양의 무늬에 가죽끈이나 체인 등을 설치한 기구이다.']"
whistle,bn:00081044n,['호루라기'],['호루라기는 불어서 소리를 내는 도구이다.']
window,bn:00081285n,"['창', '창문']","['공기가 통하고 햇빛을 받을 수 있도록 벽에 낸 작은 문.', '창은 환기, 채광, 혹은 장식을 목적으로 대표적으로 기나 빛, 소리가 들어오거나 들어오지 못하도록 벽에 만든 구조물이다.']"
wing,bn:00081336n,['날개'],"['동물의 몸에서, 나는 데 쓰는 부분.', '날개 또는 나래는 새나 곤충등의 몸 양쪽에 붙어서 날 수 있게 해주는 기관을 말하며, 비행기 등의 물체를 날 수 있게 해주는 장치를 의미하기도 한다.', '새나 곤충등의 몸 양쪽에 붙어서 날 수 있게 해주는 기관']"
worm,bn:00081635n,['벌레'],['벌레는 일반적으로 팔다리가 없고 대체로 눈이 없는 긴 원통형 몸을 지니고 있는 좌우대칭동물이다.']
