word_original,synset,senses,original_definitions,clozes,clozes_with_start_of_word,definitions_wo_ref
curtain,bn:00024534n,"['занавеска', 'што́ра', 'шторы', 'штора', 'занаве́ска', 'портье́ра', 'гарди́на']","['Што́ры, Занавески — общее наименование бытовых функционально-декоративных оконных или дверных занавесей из тканевых и иных материалов.', 'Портьера, оконная или дверная занавесь']",[],[],"['Што́ры, Занавески — общее наименование бытовых функционально-декоративных оконных или дверных занавесей из тканевых и иных материалов.', 'Портьера, оконная или дверная занавесь']"
cushion,bn:00024564n,"['амортизатор', 'шок']","['Амортиза́тор — устройство для гашения колебаний и поглощения толчков и ударов подвижных элементов, а также корпуса самого транспортного средства, посредством превращения механической энергии движения в тепловую.']",[],[],"['Амортиза́тор — устройство для гашения колебаний и поглощения толчков и ударов подвижных элементов, а также корпуса самого транспортного средства, посредством превращения механической энергии движения в тепловую.']"
dog,bn:00015267n,"['собака', 'фруфру', 'Canis lupus familiaris']","['Соба́ка (лат.', 'Домашнее животное']",[],[],"['Домашнее животное', 'Соба́ка (лат.']"
door,bn:00028247n,"['две́ри', 'дверь']","['Дверь — элемент стеновой конструкции, предназначенный для заполнения дверных проемов и состоящий из дверного блока, крепления дверного блока к проему, монтажных швов, системы уплотнений и облицовки и обеспечивающий при закрытом положении дверного полотна защиту от климатических, шумовых и других воздействий, а также от несанкционированного прохода.']","[('___ — элемент стеновой конструкции, предназначенный для заполнения дверных проемов и состоящий из дверного блока, крепления дверного блока к проему, монтажных швов, системы уплотнений и облицовки и обеспечивающий при закрытом положении дверного полотна защиту от климатических, шумовых и других воздействий, а также от несанкционированного прохода.', ('дверь', 'две́ри'))]","[('___ — элемент стеновой конструкции, предназначенный для заполнения дверных проемов и состоящий из дверного блока, крепления дверного блока к проему, монтажных швов, системы уплотнений и облицовки и обеспечивающий при закрытом положении дверного полотна защиту от климатических, шумовых и других воздействий, а также от несанкционированного прохода.', ('дверь', 'две́ри'))]",[]
drain,bn:00034158n,"['дверь', 'полевой транзистор']","['Полево́й транзи́стор — полупроводниковый прибор, принцип действия которого основан на управлении электрическим сопротивлением токопроводящего канала поперечным электрическим полем, создаваемым приложенным к затвору напряжением.']",[],[],"['Полево́й транзи́стор — полупроводниковый прибор, принцип действия которого основан на управлении электрическим сопротивлением токопроводящего канала поперечным электрическим полем, создаваемым приложенным к затвору напряжением.']"
drawer,bn:00028639n,"['рисунок', 'рису́нок', 'чертёж', 'схе́ма']","['Рису́нок ', 'Изображение на плоскости, созданное средствами графики', 'детальное изображение человека или объекта']","[('___ ', ('рису́нок', 'рисунок', 'чертёж', 'схе́ма'))]","[('___ ', ('рису́нок', 'рисунок', 'чертёж', 'схе́ма'))]","['Изображение на плоскости, созданное средствами графики', 'детальное изображение человека или объекта']"
dress,bn:00006125n,"['одежда', 'предмет одежды', 'костю́м', 'одея́ние']","['Оде́жда — изделие или совокупность изделий, надеваемых человеком и несущих утилитарные и эстетические функции.', 'Нательные покровы, носимые человеком с целью обезопасить своё тело от негативного влияния окружающей среды и в эстетических целях']",[],[],"['Нательные покровы, носимые человеком с целью обезопасить своё тело от негативного влияния окружающей среды и в эстетических целях', 'Оде́жда — изделие или совокупность изделий, надеваемых человеком и несущих утилитарные и эстетические функции.']"
drop,bn:00028709n,['капля'],"['Ка́пля — небольшой объём жидкости, ограниченный поверхностью, определяемой преимущественно действием сил поверхностного натяжения, а не внешних сил.', 'Небольшой объём жидкости']",[],[],"['Ка́пля — небольшой объём жидкости, ограниченный поверхностью, определяемой преимущественно действием сил поверхностного натяжения, а не внешних сил.', 'Небольшой объём жидкости']"
ear,bn:00029372n,"['ухо', 'у́ши', 'у́хо']","['У́хо — сложный орган животных, предназначенный для восприятия звуковых колебаний.', 'Орган слуха']","[('___ — сложный орган животных, предназначенный для восприятия звуковых колебаний.', ('у́хо', 'у́ши', 'ухо'))]","[('___ — сложный орган животных, предназначенный для восприятия звуковых колебаний.', ('у́хо', 'у́ши', 'ухо'))]",['Орган слуха']
egg,bn:00029914n,"['куриное яйцо', 'яйцо']","['Яйцо́ — распространённый пищевой продукт.', 'распространённый пищевой продукт']","[('___́ — распространённый пищевой продукт.', ('яйцо', 'куриное яйцо'))]","[('___́ — распространённый пищевой продукт.', ('яйцо', 'куриное яйцо'))]",['распространённый пищевой продукт']
engine,bn:00030850n,"['мотор', 'двигатель', 'дви́гатель', 'мото́р']","['Дви́гатель — устройство, преобразующее какой-либо вид энергии в механическую работу.', 'Устройство, преобразующее какой-либо вид энергии в механическую']","[('___ — устройство, преобразующее какой-либо вид энергии в механическую работу.', ('дви́гатель', 'двигатель', 'мото́р', 'мотор'))]","[('___ — устройство, преобразующее какой-либо вид энергии в механическую работу.', ('дви́гатель', 'двигатель', 'мото́р', 'мотор'))]","['Устройство, преобразующее какой-либо вид энергии в механическую']"
eye,bn:00032512n,"['глаз', 'глазное яблоко', 'око']","['Глаз — сенсорный орган животных, обладающий способностью воспринимать электромагнитное излучение в световом диапазоне длин волн и обеспечивающий функцию зрения.', 'Сенсорный орган, обеспечивающий зрение']","[('___ — сенсорный орган животных, обладающий способностью воспринимать электромагнитное излучение в световом диапазоне длин волн и обеспечивающий функцию зрения.', ('глаз', 'глазное яблоко', 'око'))]","[('___ — сенсорный орган животных, обладающий способностью воспринимать электромагнитное излучение в световом диапазоне длин волн и обеспечивающий функцию зрения.', ('глаз', 'глазное яблоко', 'око'))]","['Сенсорный орган, обеспечивающий зрение']"
face,bn:00032600n,"['лицо', 'обли́чье', 'лик', 'лицо́', 'физионо́мия']","['Лицо́ — передняя часть головы человека, верхняя граница проходит по верхнеглазничному краю, внизу — по углам и нижнему краю нижней челюсти, по бокам — края ветвей нижней челюсти и основанием ушных раковин.', 'Передняя часть головы, представляющая человека как особу']","[('___́ — передняя часть головы человека, верхняя граница проходит по верхнеглазничному краю, внизу — по углам и нижнему краю нижней челюсти, по бокам — края ветвей нижней челюсти и основанием ушных раковин.', ('лицо', 'физионо́мия', 'обли́чье', 'лицо́', 'лик'))]","[('___ — передняя часть головы человека, верхняя граница проходит по верхнеглазничному краю, внизу — по углам и нижнему краю нижней челюсти, по бокам — края ветвей нижней челюсти и основанием ушных раковин.', ('лицо́', 'физионо́мия', 'обли́чье', 'лик')), ('___́ — передняя часть головы человека, верхняя граница проходит по верхнеглазничному краю, внизу — по углам и нижнему краю нижней челюсти, по бокам — края ветвей нижней челюсти и основанием ушных раковин.', ('лицо', 'физионо́мия', 'обли́чье', 'лик'))]","['Передняя часть головы, представляющая человека как особу']"
farm,bn:00033676n,"['ферма', 'хозя́йство', 'фе́рма']","['Ферма — частное сельскохозяйственное предприятие, занимающееся производством сельскохозяйственной продукции.']","[('___ — частное сельскохозяйственное предприятие, занимающееся производством сельскохозяйственной продукции.', ('ферма', 'хозя́йство', 'фе́рма'))]","[('___ — частное сельскохозяйственное предприятие, занимающееся производством сельскохозяйственной продукции.', ('ферма', 'хозя́йство', 'фе́рма'))]",[]
feather,bn:00033865n,"['перо', 'оперение', 'Оперение', 'опере́ние']","['Перо — накожное роговое образование птиц, а также некоторых нептичьих динозавров.', 'Оперение — перьевой покров птиц и оперённых динозавров.', 'Накожное роговое образование птиц и некоторых динозавров']","[('___ — накожное роговое образование птиц, а также некоторых нептичьих динозавров.', ('перо', 'опере́ние', 'оперение', 'Оперение')), ('___ — перьевой покров птиц и оперённых динозавров.', ('оперение', 'опере́ние', 'перо')), ('___ — перьевой покров птиц и оперённых динозавров.', ('Оперение', 'опере́ние', 'перо'))]","[('___ — накожное роговое образование птиц, а также некоторых нептичьих динозавров.', ('перо', 'опере́ние', 'оперение', 'Оперение')), ('___ — перьевой покров птиц и оперённых динозавров.', ('оперение', 'опере́ние', 'перо')), ('___ — перьевой покров птиц и оперённых динозавров.', ('Оперение', 'опере́ние', 'перо'))]",['Накожное роговое образование птиц и некоторых динозавров']
finger,bn:00034565n,"['палец', 'па́лец', 'палец руки', 'перст', 'палец кисти']","['Па́льцы ки́сти, па́льцы руки́ — наиболее дистальные части верхних конечностей человека, у которого в процессе эволюции они получили важную функциональную нагрузку по сравнению с другими видами.']",[],[],"['Па́льцы ки́сти, па́льцы руки́ — наиболее дистальные части верхних конечностей человека, у которого в процессе эволюции они получили важную функциональную нагрузку по сравнению с другими видами.']"
fish,bn:00034816n,"['рыбы', 'ры́ба']","['Рыбы (лат.', 'Парафилетическая группа водных позвоночных животных']","[('___ (лат.', ('рыбы', 'ры́ба'))]","[('___ (лат.', ('рыбы', 'ры́ба'))]",['Парафилетическая группа водных позвоночных животных']
flag,bn:00034960n,"['знамя', 'вымпел', 'флаг']",['Флаг '],"[('___ ', ('флаг', 'вымпел', 'знамя'))]","[('___ ', ('флаг', 'вымпел', 'знамя'))]",[]
floor,bn:00079476n,"['долина', 'Долина', 'доли́на']","['Доли́на — отрицательная, линейно вытянутая форма рельефа с однообразным падением.', 'отрицательная, линейно-вытянутая форма рельефа с однообразным падением', 'Село в Фёдоровском районе Саратовской области России']","[('___ — отрицательная, линейно вытянутая форма рельефа с однообразным падением.', ('доли́на', 'долина', 'Долина'))]","[('___ — отрицательная, линейно вытянутая форма рельефа с однообразным падением.', ('доли́на', 'долина', 'Долина'))]","['отрицательная, линейно-вытянутая форма рельефа с однообразным падением', 'Село в Фёдоровском районе Саратовской области России']"
fly,bn:00035494n,"['му́ха', 'двукрылые', 'двукры́лое']",['Двукры́лые '],[],[],['Двукры́лые ']
foot,bn:00035679n,['стопа'],['Стопа́ (лат.'],"[('___́ (лат.', ('стопа',))]","[('___́ (лат.', ('стопа',))]",[]
fork,bn:00035902n,['вилка'],['Ви́лка '],[],[],['Ви́лка ']
fowl,bn:00028155n,"['птицеводство', 'пернатая дичь', 'домашняя птица', 'Galloanserae', 'Galloanseres']",['Galloanseres — клада птиц из инфракласса новонёбных.'],"[('___ — клада птиц из инфракласса новонёбных.', ('Galloanseres', 'домашняя птица', 'пернатая дичь', 'птицеводство', 'Galloanserae'))]","[('___ — клада птиц из инфракласса новонёбных.', ('Galloanseres', 'домашняя птица', 'пернатая дичь', 'птицеводство', 'Galloanserae'))]",[]
frame,bn:00003882n,"['человеческое тело', 'физиология человека', 'костя́к', 'телосложе́ние', 'фигу́ра', 'скеле́т', 'физиология человека и животных', 'фо́рма', 'компле́кция']","['Физиоло́гия челове́ка и живо́тных ', 'Челове́ческое те́ло — физическая структура человека, человеческий организм.', 'Тело человеческой особи']",[],[],"['Челове́ческое те́ло — физическая структура человека, человеческий организм.', 'Физиоло́гия челове́ка и живо́тных ', 'Тело человеческой особи']"
garden,bn:00037300n,['сад'],"['Сад — территория с посаженными человеком плодовыми деревьями и кустарниками.', 'Территория с посаженными человеком плодовыми деревьями и кустарниками (в других языках понятие означает земля для выращивания растений)']","[('___ — территория с посаженными человеком плодовыми деревьями и кустарниками.', ('сад',))]","[('___ — территория с посаженными человеком плодовыми деревьями и кустарниками.', ('сад',))]",['Территория с посаженными человеком плодовыми деревьями и кустарниками (в других языках понятие означает земля для выращивания растений)']
girl,bn:00034453n,"['девочка', 'де́вушка']","['Де́вочка — ребёнок женского пола.', 'Ребёнок женского пола']",[],[],"['Де́вочка — ребёнок женского пола.', 'Ребёнок женского пола']"
glove,bn:00040736n,"['перчатка', 'рукавица', 'перча́тка', 'рукави́ца', 'перчатки']","['Перчатки — вид одежды для кистей рук, в отличие от рукавиц — с отделениями для каждого пальца.']","[('___ — вид одежды для кистей рук, в отличие от рукавиц — с отделениями для каждого пальца.', ('перчатки', 'перча́тка', 'рукави́ца', 'перчатка', 'рукавица'))]","[('___ — вид одежды для кистей рук, в отличие от рукавиц — с отделениями для каждого пальца.', ('перчатки', 'перча́тка', 'рукави́ца', 'перчатка', 'рукавица'))]",[]
goat,bn:00015720n,"['коза', 'коза домашняя', 'домашняя коза']","['Домашняя коза ', 'Домашнее животное из рода горные козлы семейства полорогих']","[('___ ', ('домашняя коза', 'коза домашняя')), ('Домашняя ___ ', ('коза', 'коза домашняя'))]","[('___ ', ('домашняя коза', 'коза домашняя')), ('Домашняя ___ ', ('коза', 'коза домашняя'))]",['Домашнее животное из рода горные козлы семейства полорогих']
gun,bn:00042221n,"['метательное оружие', 'стреляющее оружие', 'огнестрельное оружие']","['Огнестре́льное ору́жие — оружие дальнего и ближнего боя, в котором для разгона и выбрасывания снаряда из канала ствола используется сила давления газов, образующихся при сгорании топливо-окислительных горючих смесей, как правило пороха.']",[],[],"['Огнестре́льное ору́жие — оружие дальнего и ближнего боя, в котором для разгона и выбрасывания снаряда из канала ствола используется сила давления газов, образующихся при сгорании топливо-окислительных горючих смесей, как правило пороха.']"
hair,bn:00042526n,"['волосы', 'во́лос', 'волоси́нка', 'волоси́на']",['Во́лосы'],[],"[('___ы', ('во́лос', 'волоси́нка', 'волоси́на', 'волосы'))]",[]
hammer,bn:00042730n,"['молот', 'молоток']","['Молото́к — ударный ручной инструмент, применяемый для забивания гвоздей, разбивания предметов и других работ.']",[],"[('___о́к — ударный ручной инструмент, применяемый для забивания гвоздей, разбивания предметов и других работ.', ('молот', 'молоток'))]",[]
hand,bn:00042759n,"['рука', 'кисть']","['Кисть в анатомии ', 'Дистальная часть верхней конечности']","[('___ в анатомии ', ('кисть', 'рука'))]","[('___ в анатомии ', ('кисть', 'рука'))]",['Дистальная часть верхней конечности']
hat,bn:00017718n,"['шляпа', 'шапка', 'ша́пка', 'шля́па', 'головно́й убо́р']","['Шля́па', 'Головной убор из тульи и полей']","[('___', ('шля́па', 'головно́й убо́р', 'ша́пка', 'шляпа', 'шапка'))]","[('___', ('шля́па', 'головно́й убо́р', 'ша́пка', 'шляпа', 'шапка'))]",['Головной убор из тульи и полей']
heart,bn:00043383n,"['сердце', 'сердце человека']","['Се́рдце (лат.', 'Сердце человека — это конусообразный полый мышечный орган, в который поступает кровь из впадающих в него венозных стволов и перекачивающий её в артерии, которые примыкают к сердцу.', 'Орган, обеспечивающий ток крови по кровеносным сосудам', 'конусообразный полый мышечный орган']","[('___ — это конусообразный полый мышечный орган, в который поступает кровь из впадающих в него венозных стволов и перекачивающий её в артерии, которые примыкают к сердцу.', ('сердце человека',)), ('___ человека — это конусообразный полый мышечный орган, в который поступает кровь из впадающих в него венозных стволов и перекачивающий её в артерии, которые примыкают к сердцу.', ('сердце',))]","[('___ — это конусообразный полый мышечный орган, в который поступает кровь из впадающих в него венозных стволов и перекачивающий её в артерии, которые примыкают к сердцу.', ('сердце человека',)), ('___ человека — это конусообразный полый мышечный орган, в который поступает кровь из впадающих в него венозных стволов и перекачивающий её в артерии, которые примыкают к сердцу.', ('сердце',))]","['Орган, обеспечивающий ток крови по кровеносным сосудам', 'конусообразный полый мышечный орган', 'Се́рдце (лат.']"
horn,bn:00022750n,"['варган', 'труба', 'корнет', 'труба́', 'корне́т', 'корне́т-а-писто́н']","['Труба́ ', 'Корне́т', 'духовой музыкальный инструмент']","[('___́ ', ('труба', 'корне́т-а-писто́н', 'корне́т', 'варган', 'корнет', 'труба́')), ('___', ('корне́т', 'корне́т-а-писто́н', 'варган', 'корнет', 'труба́', 'труба'))]","[('___ ', ('труба́', 'корне́т-а-писто́н', 'корне́т', 'варган', 'корнет')), ('___́ ', ('труба', 'корне́т-а-писто́н', 'корне́т', 'варган', 'корнет')), ('___', ('корне́т', 'корне́т-а-писто́н', 'варган', 'корнет', 'труба́', 'труба'))]",['духовой музыкальный инструмент']
horse,bn:00031345n,"['лошадь', 'домашняя лошадь']",['Домашняя лошадь '],"[('___ ', ('домашняя лошадь',)), ('Домашняя ___ ', ('лошадь',))]","[('___ ', ('домашняя лошадь',)), ('Домашняя ___ ', ('лошадь',))]",[]
hospital,bn:00044896n,"['больница', 'Больница']","['Больни́ца — вид гражданского стационарного медицинского учреждения, направленного на лечение больных и/или специализированную углубленную дифференциальную диагностику заболеваний в стационарных условиях.']",[],[],"['Больни́ца — вид гражданского стационарного медицинского учреждения, направленного на лечение больных и/или специализированную углубленную дифференциальную диагностику заболеваний в стационарных условиях.']"
house,bn:00044994n,"['дом', 'жилище']","['Жили́ще, жильё — традиционное сооружение или природное укрытие, приспособленное для обитания человека и некоторых животных.', 'Сооружение, предназначенное для жилья']",[],[],"['Жили́ще, жильё — традиционное сооружение или природное укрытие, приспособленное для обитания человека и некоторых животных.', 'Сооружение, предназначенное для жилья']"
island,bn:00047612n,['остров'],"['О́стров — участок суши в океане, море, озере или на реке, окружённый со всех сторон водой и постоянно возвышающийся над водой даже в период наибольшего прилива.', 'Участок суши, окружённый со всех сторон водой и постоянно возвышающийся над водой даже в период наибольшего прилива']",[],[],"['О́стров — участок суши в океане, море, озере или на реке, окружённый со всех сторон водой и постоянно возвышающийся над водой даже в период наибольшего прилива.', 'Участок суши, окружённый со всех сторон водой и постоянно возвышающийся над водой даже в период наибольшего прилива']"
jewel,bn:00037606n,"['самоцвет', 'драгоценный камень', 'самоцве́т', 'драгоценные камни', 'драгоце́нный ка́мень']","['Драгоценные камни — минералы, относимые к самым дорогим материалам.']","[('___ — минералы, относимые к самым дорогим материалам.', ('драгоценные камни', 'драгоце́нный ка́мень', 'драгоценный камень', 'самоцве́т', 'самоцвет'))]","[('___ — минералы, относимые к самым дорогим материалам.', ('драгоценные камни', 'драгоце́нный ка́мень', 'драгоценный камень', 'самоцве́т', 'самоцвет'))]",[]
kettle,bn:00011829n,"['котёл', 'чайник', 'ча́йник']","['Ча́йник — полое изделие различной формы с крышкой, ручкой и носиком, предназначенное для кипячения воды и заваривания чая.', 'Полое изделие различной формы с крышкой, ручкой и носиком, предназначенное для кипячения.']","[('___ — полое изделие различной формы с крышкой, ручкой и носиком, предназначенное для кипячения воды и заваривания чая.', ('ча́йник', 'чайник', 'котёл'))]","[('___ — полое изделие различной формы с крышкой, ручкой и носиком, предназначенное для кипячения воды и заваривания чая.', ('ча́йник', 'чайник', 'котёл'))]","['Полое изделие различной формы с крышкой, ручкой и носиком, предназначенное для кипячения.']"
key,bn:00048985n,"['кпюч', 'Замковый ключ', 'ключ']","['Ключ — инструмент, предназначенный для открытия замко́в.']","[('___ — инструмент, предназначенный для открытия замко́в.', ('ключ', 'Замковый ключ', 'кпюч'))]","[('___ — инструмент, предназначенный для открытия замко́в.', ('ключ', 'Замковый ключ', 'кпюч'))]",[]
knee,bn:00006140n,"['колено', 'коленный сустав']","['Коле́нный сустав, коле́но ']",[],[],"['Коле́нный сустав, коле́но ']"
knife,bn:00049322n,"['нож', 'но́жик']","['Нож (праслав.', 'Колющий, рубящий или режущий инструмент']","[('___ (праслав.', ('нож', 'но́жик'))]","[('___ (праслав.', ('нож', 'но́жик'))]","['Колющий, рубящий или режущий инструмент']"
knot,bn:00049367n,['узел'],['У́зел'],[],[],['У́зел']
leaf,bn:00035596n,"['лист', 'листва']",['Лист '],"[('___ ', ('лист', 'листва'))]","[('___ ', ('лист', 'листва'))]",[]
leg,bn:00050541n,"['нога', 'нога человека', 'Нога человека']","['Нога — парный орган опоры и движения человека.', 'Нижняя конечность человека']","[('___ — парный орган опоры и движения человека.', ('нога', 'нога человека', 'Нога человека'))]","[('___ — парный орган опоры и движения человека.', ('нога', 'нога человека', 'Нога человека'))]",['Нижняя конечность человека']
line,bn:00076373n,"['видео', 'телевидение', 'видеолента', 'ТВ', 'телеви́дение']","['Телеви́дение — технология электросвязи, предназначенная для передачи на расстояние движущегося изображения.', 'Ви́део (от лат.', 'Электронная среда для динамического изображения', 'Средство массовой информации, отрасль экономики']","[('___ — технология электросвязи, предназначенная для передачи на расстояние движущегося изображения.', ('телеви́дение', 'телевидение', 'видеолента', 'видео', 'ТВ'))]","[('___ — технология электросвязи, предназначенная для передачи на расстояние движущегося изображения.', ('телеви́дение', 'телевидение', 'видеолента', 'видео', 'ТВ'))]","['Электронная среда для динамического изображения', 'Средство массовой информации, отрасль экономики', 'Ви́део (от лат.']"
lip,bn:00051440n,"['губа', 'губы']",['Гу́бы рта '],[],[],['Гу́бы рта ']
map,bn:00036821n,"['отображение', 'математическая функция', 'однозначная функция', 'функция']","['Фу́нкцией называется соответствие между двумя множествами, при котором каждому элементу одного множества соответствует единственный элемент другого множества.', 'Математическое бинарное отношение, такое что для каждого элемента слева существует ровно один соответствующий элемент справа']",[],[],"['Фу́нкцией называется соответствие между двумя множествами, при котором каждому элементу одного множества соответствует единственный элемент другого множества.', 'Математическое бинарное отношение, такое что для каждого элемента слева существует ровно один соответствующий элемент справа']"
match,bn:00036522n,"['спичка', 'спи́чка']","['Спи́чка — палочка из дерева, картона или бумаги, снабжённая зажигательной головкой, служащая для получения открытого огня.', 'Одноразовая деревянная (реже картонная) палочка, служащая инструментом для розжига огня']","[('___ — палочка из дерева, картона или бумаги, снабжённая зажигательной головкой, служащая для получения открытого огня.', ('спи́чка', 'спичка'))]","[('___ — палочка из дерева, картона или бумаги, снабжённая зажигательной головкой, служащая для получения открытого огня.', ('спи́чка', 'спичка'))]","['Одноразовая деревянная (реже картонная) палочка, служащая инструментом для розжига огня']"
monkey,bn:00055685n,"['обезьяна', 'обезьяны']","['Обезья́ны — группа млекопитающих из отряда приматов.', 'Группа приматов']",[],[],"['Обезья́ны — группа млекопитающих из отряда приматов.', 'Группа приматов']"
moon,bn:00055813n,"['луна', 'естественный спутник']","['Естественный спу́тник — небесное тело, обращающееся по определённой траектории вокруг другого объекта в космическом пространстве под действием гравитации.', 'Естественный спутник планеты.']","[('___ планеты.', ('естественный спутник', 'луна'))]","[('___ планеты.', ('естественный спутник', 'луна'))]","['Естественный спу́тник — небесное тело, обращающееся по определённой траектории вокруг другого объекта в космическом пространстве под действием гравитации.']"
muscle,bn:00056377n,"['мышцы', 'му́скул', 'мы́шца', 'мышца']","['Мы́шцы', 'органы, состоящие из мышечной ткани']",[],[],"['органы, состоящие из мышечной ткани', 'Мы́шцы']"
nail,bn:00056727n,"['ноготь', 'но́готь', 'ногти']","['Но́гти [unguis ; ungues ] — придатки кожи в виде плотных роговых пластинок на тыльной поверхности концов пальцев верхних и нижних конечностей человека и большинства приматов.', 'роговые пластины']",[],[],"['Но́гти [unguis ; ungues ] — придатки кожи в виде плотных роговых пластинок на тыльной поверхности концов пальцев верхних и нижних конечностей человека и большинства приматов.', 'роговые пластины']"
neck,bn:00017395n,"['шея', 'вы́я', 'ше́я']","['Ше́я — часть тела позвоночных, соединяющая голову с туловищем.', 'часть тела позвоночных, соединяющая голову с туловищем']","[('___ — часть тела позвоночных, соединяющая голову с туловищем.', ('ше́я', 'вы́я', 'шея'))]","[('___ — часть тела позвоночных, соединяющая голову с туловищем.', ('ше́я', 'вы́я', 'шея'))]","['часть тела позвоночных, соединяющая голову с туловищем']"
nerve,bn:00057322n,['нерв'],['Нерв (лат.'],"[('___ (лат.', ('нерв',))]","[('___ (лат.', ('нерв',))]",[]
net,bn:00024712n,"['Интернет', 'компьютерная сеть', 'киберпространство', 'сеть', 'интерне́т']","['Киберпространство ', 'Интерне́т ', 'Всемирная система объединённых компьютерных сетей']","[('___ ', ('киберпространство', 'компьютерная сеть', 'интерне́т', 'Интернет', 'сеть')), ('___ ', ('интерне́т', 'компьютерная сеть', 'киберпространство', 'Интернет', 'сеть'))]","[('___ ', ('киберпространство', 'компьютерная сеть', 'интерне́т', 'Интернет', 'сеть')), ('___ ', ('интерне́т', 'компьютерная сеть', 'киберпространство', 'Интернет', 'сеть'))]",['Всемирная система объединённых компьютерных сетей']
nose,bn:00058117n,['нос'],"['Нос', 'Часть лица или морды, участвующая в дыхании, обонянии, добыче корма и общении']","[('___', ('нос',))]","[('___', ('нос',))]","['Часть лица или морды, участвующая в дыхании, обонянии, добыче корма и общении']"
nut,bn:00058343n,['гайка'],"['Га́йка — крепёжное изделие с резьбовым отверстием, образующее разборное соединение с помощью винта, болта или шпильки.', 'крепёжное изделие с резьбовым отверстием']",[],[],"['Га́йка — крепёжное изделие с резьбовым отверстием, образующее разборное соединение с помощью винта, болта или шпильки.', 'крепёжное изделие с резьбовым отверстием']"
office,bn:00001961n,"['офис', 'орган публичной власти', 'аге́нтство', 'правительственный офис', 'о́рган']","['Органы публичной вла́сти — организации, реализующие публичную власть в обществе и государстве.', 'Помещение, здание, комплекс зданий, в котором работают служащие предприятия']",[],[],"['Органы публичной вла́сти — организации, реализующие публичную власть в обществе и государстве.', 'Помещение, здание, комплекс зданий, в котором работают служащие предприятия']"
orange,bn:00059250n,"['оранжевый', 'ора́нжевый', 'оранжевый цвет', 'ора́нжевый цвет']","['Ора́нжевый — цвет, промежуточный в спектре электромагнитного излучения оптического диапазона между красным и жёлтым.']","[('___ — цвет, промежуточный в спектре электромагнитного излучения оптического диапазона между красным и жёлтым.', ('ора́нжевый', 'ора́нжевый цвет', 'оранжевый цвет', 'оранжевый'))]","[('___ — цвет, промежуточный в спектре электромагнитного излучения оптического диапазона между красным и жёлтым.', ('ора́нжевый', 'ора́нжевый цвет', 'оранжевый цвет', 'оранжевый'))]",[]
oven,bn:00059829n,"['печь', 'духо́вка', 'пе́чка']","['Печь — нагревательное устройство для отопления, приготовления пищи или термообработки материалов.', 'Изолированная камера, предназначенная для нагрева или сушки чего-либо, или приготовления пищи']","[('___ — нагревательное устройство для отопления, приготовления пищи или термообработки материалов.', ('печь', 'духо́вка', 'пе́чка'))]","[('___ — нагревательное устройство для отопления, приготовления пищи или термообработки материалов.', ('печь', 'духо́вка', 'пе́чка'))]","['Изолированная камера, предназначенная для нагрева или сушки чего-либо, или приготовления пищи']"
pen,bn:00061314n,"['ручка', 'перо', 'авторучка']","['Ручка — письменная принадлежность, с помощью которой можно оставить чернильный след на поверхности.', 'Письменная принадлежность']","[('___ — письменная принадлежность, с помощью которой можно оставить чернильный след на поверхности.', ('ручка', 'авторучка', 'перо'))]","[('___ — письменная принадлежность, с помощью которой можно оставить чернильный след на поверхности.', ('ручка', 'авторучка', 'перо'))]",['Письменная принадлежность']
pencil,bn:00061334n,['карандаш'],"['Каранда́ш ', 'Инструмент в виде стержня, изготавливаемого из пишущего материала, применяемый для письма, рисования, черчения']",[],[],"['Инструмент в виде стержня, изготавливаемого из пишущего материала, применяемый для письма, рисования, черчения', 'Каранда́ш ']"
picture,bn:00034471n,"['кинофильм', 'фильм']","['Фильм (англ.', 'Совокупность движущихся изображений, связанных единым сюжетом']","[('___ (англ.', ('фильм', 'кинофильм'))]","[('___ (англ.', ('фильм', 'кинофильм'))]","['Совокупность движущихся изображений, связанных единым сюжетом']"
